werk-caption.gif,werk1-caption.png,Werk,Caption,werk-caption.mov,p,happy
wont_he_do_it_female-caption.gif,wont_he_do_it_female-caption.png,Won't He Do It ,Caption,wont_he_do_it_female-caption.mov,f,happy
wont_he_do_it_male-caption.gif,wont_he_do_it_male-caption.png,Won't He Do It,Caption,wont_he_do_it_male-caption.mov,p,happy
glory-caption.gif,glory-caption.png,Eh Glory,Caption,glory-caption.mov,p,happy
turn_up-caption.gif,turn_up-caption.png,Turn Up,Caption,turn_up-caption.mov,f,happy
yas-caption.gif,yas-caption.png,Yaasssss,Caption,yas-caption.mov,p,happy
werk-nocaption.gif,werk1-nocaption.png,Werk,NoCaption,werk-nocaption.mov,p,happy
wont_he_do_it_female-nocaption.gif,wont_he_do_it_female-nocaption.png,Won't He Do It,NoCaption,wont_he_do_it_female-nocaption.mov,f,happy
wont_he_do_it_male-nocaption.gif,wont_he_do_it_male-nocaption.png,Won't He Do It,NoCaption,wont_he_do_it_male-nocaption.mov,p,happy
glory-nocaption.gif,glory-nocaption.png,Eh Glory,NoCaption,glory-nocaption.mov,p,happy
turn_up-nocaption.gif,turn_up-nocaption.png,Turn Up,NoCaption,turn_up-nocaption.mov,f,happy
yas-nocaption.gif,yas-nocaption.png,Yaasssss,NoCaption,yas-nocaption.mov,p,happy
